cycle,state,dem_poll_avg,dem_poll_avg_margin,incumbent_party,incumbent_running,party_winner
2008,New York,61.370024,28.224894,republican,0,democrat
2008,North Carolina,48.35763,0.8204289999999972,republican,0,democrat
2008,North Dakota,44.243590000000005,-1.2386059999999972,republican,0,republican
2008,Ohio,49.617053000000006,4.554623000000007,republican,0,democrat
2008,Oklahoma,35.542093,-24.802938999999995,republican,0,republican
2008,Oregon,54.806549,15.293245999999996,republican,0,democrat
2008,Pennsylvania,51.486452,7.917107999999999,republican,0,democrat
2008,Rhode Island,55.351109,19.377548999999995,republican,0,democrat
2008,South Carolina,42.876454,-9.282267000000004,republican,0,republican
2008,South Dakota,42.894873,-8.927742000000002,republican,0,republican
2008,Tennessee,41.722512,-12.162144999999995,republican,0,republican
2008,Texas,42.507628,-12.213815999999987,republican,0,republican
2008,Utah,32.651839,-26.45614299999999,republican,0,republican
2008,Vermont,60.060211,27.049164,republican,0,democrat
2008,Virginia,50.345379,5.213853999999998,republican,0,democrat
2008,Washington,53.835668000000005,13.54928300000001,republican,0,democrat
2008,West Virginia,40.809777,-12.984065,republican,0,republican
2008,Wisconsin,52.66490699999999,11.976871999999991,republican,0,democrat
2008,Wyoming,33.176088,-26.872840000000004,republican,0,republican
2012,Alabama,35.623535,-18.066787,democrat,1,republican
2012,Arizona,44.002949,-8.522165999999999,democrat,1,republican
2012,Arkansas,32.926966,-24.807177000000003,democrat,1,republican
2012,California,54.853727,15.577813,democrat,1,democrat
2012,Colorado,48.290802,0.5829039999999992,democrat,1,democrat
2012,Connecticut,53.670551,12.405382000000005,democrat,1,democrat
2012,District of Columbia,87.344071,78.8946037,democrat,1,democrat
2012,Florida,47.634723,-1.5462849999999977,democrat,1,democrat
2012,Georgia,43.65606,-9.741931000000008,democrat,1,republican
2012,Hawaii,61.42352,28.228405999999996,democrat,1,democrat
2012,Idaho,27.09037,-35.708928,democrat,1,republican
2012,Illinois,55.665689,16.813627000000004,democrat,1,democrat
2012,Indiana,42.112778000000006,-10.958091999999986,democrat,1,republican
2012,Iowa,48.072818,1.4926609999999982,democrat,1,democrat
2012,Kansas,33.987826,-21.575878000000003,democrat,1,republican
2012,Kentucky,38.72088,-15.667569999999998,democrat,1,republican
2012,Louisiana,36.768243,-17.784088999999994,democrat,1,republican
2012,Maine,52.556736,10.439442,democrat,1,democrat
2012,Maryland,57.525837,20.041193,democrat,1,democrat
2012,Massachusetts,56.852048,17.556882,democrat,1,democrat
2012,Michigan,49.748667,4.240695999999993,democrat,1,democrat
2012,Minnesota,50.850344,6.147922999999999,democrat,1,democrat
2012,Missouri,42.372821,-11.804824999999994,democrat,1,republican
2012,Montana,43.484368,-8.859262000000001,democrat,1,republican
2012,Nebraska,38.929304,-17.378053,democrat,1,republican
2012,Nevada,49.93103,3.175348999999997,democrat,1,democrat
2012,New Hampshire,48.49889,0.9322560000000024,democrat,1,democrat
2012,New Jersey,52.229467,10.753379000000002,democrat,1,democrat
2012,New Mexico,49.905268,6.44943,democrat,1,democrat
2012,New York,59.796929000000006,23.670302000000007,democrat,1,democrat
2012,North Carolina,46.504795,-3.0766459999999967,democrat,1,republican
2012,North Dakota,38.780472,-15.818188,democrat,1,republican
2012,Ohio,49.171259,2.0134079999999983,democrat,1,democrat
2012,Oklahoma,30.318942,-29.933629,democrat,1,republican
2012,Oregon,48.07413,5.376813999999996,democrat,1,democrat
2012,Pennsylvania,49.881312,3.9350409999999982,democrat,1,democrat
2012,Rhode Island,55.353336,21.619787,democrat,1,democrat
2012,South Carolina,42.771209000000006,-3.447905999999996,democrat,1,republican
2012,South Dakota,40.736824,-12.150841000000009,democrat,1,republican
2012,Tennessee,38.939167,-14.933208,democrat,1,republican
2012,Texas,38.706372,-18.710111,democrat,1,republican
2012,Utah,24.505127,-46.162102,democrat,1,republican
2012,Vermont,59.85286,30.899871,democrat,1,democrat
2012,Virginia,48.265883,0.9789280000000034,democrat,1,democrat
2012,Washington,53.39461,11.179690999999998,democrat,1,democrat
2012,West Virginia,37.407189,-16.754681999999995,democrat,1,republican
2012,Wisconsin,49.892816,3.752502999999997,democrat,1,democrat
2016,Alabama,35.14891,-21.18848,democrat,0,republican
2016,Alaska,39.10066,-6.079999999999998,democrat,0,republican
2016,Arizona,42.92815,-2.699859999999994,democrat,0,republican
2016,Arkansas,33.52097,-19.4925,democrat,0,republican
2016,California,54.91905,22.08415,democrat,0,democrat
2016,Colorado,43.64732,2.8801500000000004,democrat,0,democrat
